clip,category,rank,event_time,event_seconds,event_offset_in_clip,score,level_db,label,notes
impact/08_01-15-33_score-24.17.mp3,IMPACT,8,01:15:33.47,4533.47,12.0,24.165,-32.6,,
impact/09_00-09-49_score-23.12.mp3,IMPACT,9,00:09:49.47,589.47,12.0,23.119,-39.6,,
impact/10_00-28-49_score-22.70.mp3,IMPACT,10,00:28:49.47,1729.47,12.0,22.698,-42.0,,
impact/11_01-22-03_score-22.67.mp3,IMPACT,11,01:22:03.33,4923.33,12.0,22.668,-37.8,,
impact/12_00-34-19_score-22.40.mp3,IMPACT,12,00:34:19.20,2059.2,12.0,22.398,-46.1,,
impact/13_00-59-29_score-22.25.mp3,IMPACT,13,00:59:29.22,3569.22,12.0,22.254,-36.5,,
impact/14_00-13-28_score-21.87.mp3,IMPACT,14,00:13:28.96,808.96,12.0,21.868,-51.8,,
impact/15_00-01-45_score-21.67.mp3,IMPACT,15,00:01:45.95,105.95,12.0,21.671,-44.8,,
impact/16_01-18-16_score-20.66.mp3,IMPACT,16,01:18:16.99,4696.99,12.0,20.664,-24.9,,
impact/17_01-18-35_score-20.59.mp3,IMPACT,17,01:18:35.07,4715.07,12.0,20.585,-22.7,,
impact/18_01-01-31_score-19.83.mp3,IMPACT,18,01:01:31.07,3691.07,12.0,19.827,-23.2,,
impact/19_00-06-52_score-19.82.mp3,IMPACT,19,00:06:52.13,412.13,12.0,19.821,-39.5,,
impact/20_00-20-45_score-19.79.mp3,IMPACT,20,00:20:45.57,1245.57,12.0,19.791,-31.3,,
harsh/01_00-34-17_score-41.24.mp3,HARSH,1,00:34:17.28,2057.28,12.0,41.236,-43.0,,
harsh/02_00-16-45_score-41.12.mp3,HARSH,2,00:16:45.63,1005.63,12.0,41.118,-45.4,,
harsh/03_00-01-46_score-39.85.mp3,HARSH,3,00:01:46.18,106.18,12.0,39.854,-46.4,,
harsh/04_00-16-07_score-37.67.mp3,HARSH,4,00:16:07.97,967.97,12.0,37.668,-44.6,,
harsh/05_00-42-53_score-37.08.mp3,HARSH,5,00:42:53.86,2573.86,12.0,37.081,-45.6,,
harsh/06_00-12-44_score-35.91.mp3,HARSH,6,00:12:44.80,764.8,12.0,35.915,-45.6,,
harsh/07_00-12-50_score-35.04.mp3,HARSH,7,00:12:50.50,770.5,12.0,35.044,-44.6,,
harsh/08_00-21-39_score-34.89.mp3,HARSH,8,00:21:39.17,1299.17,12.0,34.894,-36.8,,
harsh/09_00-59-59_score-34.78.mp3,HARSH,9,00:59:59.81,3599.81,12.0,34.776,-45.3,,
harsh/10_01-01-31_score-33.40.mp3,HARSH,10,01:01:31.01,3691.01,12.0,33.4,-25.7,,
harsh/11_00-35-07_score-33.17.mp3,HARSH,11,00:35:07.55,2107.55,12.0,33.169,-27.9,,
harsh/12_00-59-55_score-32.49.mp3,HARSH,12,00:59:55.87,3595.87,12.0,32.486,-45.8,,
harsh/13_00-31-59_score-32.04.mp3,HARSH,13,00:31:59.62,1919.62,12.0,32.041,-43.3,,
harsh/14_00-11-20_score-31.73.mp3,HARSH,14,00:11:20.03,680.03,12.0,31.728,-42.9,,
harsh/15_01-15-33_score-31.36.mp3,HARSH,15,01:15:33.47,4533.47,12.0,31.359,-32.6,,
harsh/16_00-43-40_score-30.22.mp3,HARSH,16,00:43:40.32,2620.32,12.0,30.224,-42.1,,
harsh/17_01-18-17_score-30.13.mp3,HARSH,17,01:18:17.09,4697.09,12.0,30.131,-28.9,,
harsh/18_00-38-21_score-29.67.mp3,HARSH,18,00:38:21.54,2301.54,12.0,29.666,-23.8,,
harsh/19_00-13-24_score-29.40.mp3,HARSH,19,00:13:24.29,804.29,12.0,29.399,-42.5,,
harsh/20_00-25-41_score-29.39.mp3,HARSH,20,00:25:41.76,1541.76,12.0,29.391,-44.2,,
barrage/01_00-14-25_score-2.15.mp3,BARRAGE,1,00:14:25.38,865.38,5.0,2.152,-44.9,,
barrage/02_00-21-22_score-2.05.mp3,BARRAGE,2,00:21:22.30,1282.3,5.0,2.054,-40.6,,
barrage/03_00-06-43_score-2.03.mp3,BARRAGE,3,00:06:43.49,403.49,5.0,2.034,-41.2,,
barrage/04_01-22-45_score-2.02.mp3,BARRAGE,4,01:22:45.02,4965.02,5.0,2.016,-50.1,,
barrage/05_01-02-31_score-1.88.mp3,BARRAGE,5,01:02:31.65,3751.65,5.0,1.881,-47.4,,
barrage/06_00-39-44_score-1.82.mp3,BARRAGE,6,00:39:44.96,2384.96,5.0,1.824,-50.9,,
barrage/07_00-42-38_score-1.70.mp3,BARRAGE,7,00:42:38.66,2558.66,5.0,1.696,-43.4,,
barrage/08_00-58-17_score-1.68.mp3,BARRAGE,8,00:58:17.63,3497.63,5.0,1.679,-52.1,,
barrage/09_00-12-48_score-1.68.mp3,BARRAGE,9,00:12:48.13,768.13,5.0,1.679,-49.2,,
barrage/10_00-36-19_score-1.66.mp3,BARRAGE,10,00:36:19.81,2179.81,5.0,1.658,-34.8,,
barrage/11_00-13-21_score-1.66.mp3,BARRAGE,11,00:13:21.86,801.86,5.0,1.656,-51.5,,
barrage/12_00-48-31_score-1.65.mp3,BARRAGE,12,00:48:31.65,2911.65,5.0,1.652,-41.4,,
barrage/13_01-03-26_score-1.65.mp3,BARRAGE,13,01:03:26.46,3806.46,5.0,1.65,-44.3,,
barrage/14_00-29-19_score-1.61.mp3,BARRAGE,14,00:29:19.74,1759.74,5.0,1.606,-49.0,,
barrage/15_00-34-04_score-1.59.mp3,BARRAGE,15,00:34:04.86,2044.86,5.0,1.592,-48.0,,
barrage/16_00-16-04_score-1.57.mp3,BARRAGE,16,00:16:04.67,964.67,5.0,1.574,-45.6,,
barrage/17_00-13-08_score-1.51.mp3,BARRAGE,17,00:13:08.35,788.35,5.0,1.513,-51.1,,
barrage/18_00-15-30_score-1.50.mp3,BARRAGE,18,00:15:30.62,930.62,5.0,1.499,-47.6,,
barrage/19_00-32-27_score-1.49.mp3,BARRAGE,19,00:32:27.97,1947.97,5.0,1.488,-35.8,,
barrage/20_00-46-19_score-1.48.mp3,BARRAGE,20,00:46:19.87,2779.87,5.0,1.484,-47.5,,
